boat_type,model,observation_version,index,group,slot,field,normalization,range,empty_slot_value,normalization_max
destroyer,,destroyer_duel_v5,0,boat,,speed_ratio,speed / max_speed,"[-1,1]",,30
destroyer,,destroyer_duel_v5,1,boat,,throttle_ratio,current throttle request,"[-1,1]",,1
destroyer,,destroyer_duel_v5,2,boat,,yaw_rate_ratio,actual yaw rate / rudder_max,"[-1,1]",,0.36
destroyer,,destroyer_duel_v5,3,boat,,rudder_ratio,rudder / rudder_max,"[-1,1]",,0.36
destroyer,,destroyer_duel_v5,4,boat,,integrity_ratio,integrity / max_integrity,"[0,1]",,200
destroyer,,destroyer_duel_v5,5,boat,,emitted_noise_ratio,emitted_noise / boat_noise,"[0,1]",,1000
destroyer,,destroyer_duel_v5,6,boat,,acoustic_ammo_ratio,acoustic_ammo / initial_max,"[0,1]",,20
destroyer,,destroyer_duel_v5,7,boat,,autonomous_ammo_ratio,autonomous_ammo / initial_max,"[0,1]",,16
destroyer,,destroyer_duel_v5,8,boat,,cannon_ammo_ratio,cannon_ammo / initial_max,"[0,1]",,50
destroyer,,destroyer_duel_v5,9,boat,,grenade_ammo_ratio,grenade_ammo / initial_max,"[0,1]",,50
destroyer,,destroyer_duel_v5,10,boat,,lure_ammo_ratio,lure_ammo / initial_max,"[0,1]",,20
destroyer,,destroyer_duel_v5,11,boat,,torpedo_ready,1 when torpedo cooldown elapsed,"[0,1]",,1
destroyer,,destroyer_duel_v5,12,boat,,cannon_ready,1 when cannon cooldown elapsed,"[0,1]",,1
destroyer,,destroyer_duel_v5,13,boat,,grenade_ready,1 when grenade cooldown elapsed,"[0,1]",,1
destroyer,,destroyer_duel_v5,14,boat,,lure_ready,1 when lure cooldown elapsed,"[0,1]",,1
destroyer,,destroyer_duel_v5,15,boat,,sonar_ready,1 when active sonar cooldown elapsed,"[0,1]",,1
destroyer,,destroyer_duel_v5,16,contact,,present,1 when a current or remembered contact is available,"[0,1]",0,1
destroyer,,destroyer_duel_v5,17,contact,,bearing_sin,right / planar_distance,"[-1,1]",0,1
destroyer,,destroyer_duel_v5,18,contact,,bearing_cos,forward / planar_distance,"[-1,1]",0,1
destroyer,,destroyer_duel_v5,19,contact,,distance_ratio,distance_m / 5000,"[0,1]",0,5000
destroyer,,destroyer_duel_v5,20,contact,,age,age_s / 30,"[0,1]",0,30
destroyer,,destroyer_duel_v5,21,contact,,depth,contact_depth_m / 450,"[0,1]",0,450
destroyer,,destroyer_duel_v5,22,contact,,noise,perceived_noise / 20,"[0,1]",0,20
destroyer,,destroyer_duel_v5,23,torpedo,1,present,1 when slot is occupied,"[0,1]",0,1
destroyer,,destroyer_duel_v5,24,torpedo,1,bearing_sin,right / planar_distance,"[-1,1]",0,1
destroyer,,destroyer_duel_v5,25,torpedo,1,bearing_cos,forward / planar_distance,"[-1,1]",0,1
destroyer,,destroyer_duel_v5,26,torpedo,1,distance_ratio,distance_m / 10000,"[0,1]",0,10000
destroyer,,destroyer_duel_v5,27,torpedo,1,velocity_forward,relative forward velocity / 10,"[-1,1]",0,10
destroyer,,destroyer_duel_v5,28,torpedo,1,velocity_right,relative right velocity / 10,"[-1,1]",0,10
destroyer,,destroyer_duel_v5,29,torpedo,1,cpa_distance,closest approach distance_m / 2000,"[0,1]",0,2000
destroyer,,destroyer_duel_v5,30,torpedo,1,cpa_time,closest-approach time / 10 s,"[0,1]",0,10
destroyer,,destroyer_duel_v5,31,torpedo,1,type_one_hot_acoustic,public torpedo type one-hot,"[0,1]",0,1
destroyer,,destroyer_duel_v5,32,torpedo,1,type_one_hot_autonomous,public torpedo type one-hot,"[0,1]",0,1
destroyer,,destroyer_duel_v5,33,torpedo,1,type_one_hot_wire_guided,public torpedo type one-hot,"[0,1]",0,1
destroyer,,destroyer_duel_v5,34,torpedo,2,present,1 when slot is occupied,"[0,1]",0,1
destroyer,,destroyer_duel_v5,35,torpedo,2,bearing_sin,right / planar_distance,"[-1,1]",0,1
destroyer,,destroyer_duel_v5,36,torpedo,2,bearing_cos,forward / planar_distance,"[-1,1]",0,1
destroyer,,destroyer_duel_v5,37,torpedo,2,distance_ratio,distance_m / 10000,"[0,1]",0,10000
destroyer,,destroyer_duel_v5,38,torpedo,2,velocity_forward,relative forward velocity / 10,"[-1,1]",0,10
destroyer,,destroyer_duel_v5,39,torpedo,2,velocity_right,relative right velocity / 10,"[-1,1]",0,10
destroyer,,destroyer_duel_v5,40,torpedo,2,cpa_distance,closest approach distance_m / 2000,"[0,1]",0,2000
destroyer,,destroyer_duel_v5,41,torpedo,2,cpa_time,closest-approach time / 10 s,"[0,1]",0,10
destroyer,,destroyer_duel_v5,42,torpedo,2,type_one_hot_acoustic,public torpedo type one-hot,"[0,1]",0,1
